ax,ay,az,gx,gy,gz,activity
-1248,14736,-6780,1057,1422,2038,1
-1116,14136,-6800,2237,1415,3538,1
-1368,14320,-7160,2618,1289,3947,1
-1492,14484,-7600,2560,1260,3595,1
-1088,14440,-7636,2395,1714,3129,1
-648,14512,-7196,2047,3302,2604,1
-308,14184,-6072,1459,3681,3194,1
-200,14564,-5584,2030,2649,4830,1
-500,14864,-5824,2843,605,6580,1
80,14576,-5372,3885,-1677,7788,1
460,13884,-6140,4859,-3535,8564,1
380,13524,-6208,5453,-6254,8271,1
784,12472,-7240,6731,-8517,6868,1
1464,12152,-9196,8524,-10469,6663,1
3132,13200,-11060,8983,-8705,5959,1
3820,13344,-12292,8065,-4257,3166,1
2604,12180,-12772,8553,-1703,1678,1
2852,11292,-12528,10162,-1177,1025,1
3480,12696,-11796,10341,249,1294,1
3104,13000,-10484,8549,148,1747,1
2440,12516,-9760,7301,-166,2257,1
2116,11680,-9980,6968,-833,2587,1
2572,10472,-10764,8264,-1189,3715,1
1764,10308,-11148,8690,-2134,3524,1
3024,9340,-11636,8872,-2340,3439,1
3380,9056,-11912,8236,-1201,3225,1
3452,8400,-11920,7326,-617,3287,1
3224,7784,-12036,6230,-41,2641,1
3708,7404,-11872,5101,745,2550,1
3376,6992,-11772,3139,1791,1790,1
2332,6244,-11388,1767,947,811,1
2768,5656,-10960,371,-41,753,1
3412,5316,-11428,-1018,-496,702,1
3324,5188,-11940,-1782,-2008,417,1
2876,5436,-12336,-2222,-3002,-704,1
3916,6008,-12440,-3168,-2333,-1503,1
4372,6736,-11940,-4448,-423,-1778,1
4472,7388,-10176,-6879,901,-1468,1
3792,7292,-9856,-9190,1017,-1478,1
788,7576,-14112,-5849,-3547,-3303,1
-1100,10984,-18920,1979,-8501,-5649,1
5480,11972,-16884,2019,-7141,-1959,1
6536,9324,-12216,-76,1205,-995,1
3504,5848,-9312,-3172,3017,-1743,1
1908,3920,-10920,-4747,2482,-2084,1
1968,5380,-13788,-4469,455,-1132,1
3380,9976,-16284,-4098,187,318,1
4576,15808,-18776,-5173,1179,-575,1
4052,17992,-17644,-7448,4125,-2701,1
2720,14188,-13376,-8395,6149,-2821,1
1332,12552,-10820,-8685,3012,-4400,1
1584,12940,-11368,-9419,-1393,-7153,1
2244,13196,-11920,-9129,-2116,-7812,1
2292,12016,-10888,-7021,1015,-6955,1
480,11476,-9544,-6785,3008,-7073,1
-696,11424,-8744,-6947,4227,-7234,1
-2172,10832,-7956,-6093,5102,-5931,1
-2132,11604,-7776,-5668,5096,-4316,1
-1936,15020,-8316,-5978,3536,-4390,1
-1284,16116,-7996,-4931,1456,-4845,1
-1664,13728,-5488,-2887,-1798,-4127,1
-232,13108,-3492,-2911,-5267,-4011,1
616,13132,-4056,-4338,-5501,-4463,1
-24,12656,-6308,-5668,-4073,-4704,1
-848,11832,-8164,-6041,-3048,-5441,1
-704,12000,-9536,-5471,-1373,-6875,1
12,12200,-10588,-6127,1909,-6373,1
1728,10028,-9356,-4441,6187,-5122,1
220,10840,-6936,-3933,8827,-5068,1
-684,12116,-5292,-2573,8859,-5888,1
-2560,12560,-3932,-2787,6899,-4966,1
-2412,11376,-3784,-1458,4622,-4446,1
-3152,12844,-4148,190,529,-3715,1
-1336,14988,-4684,-394,-861,-5152,1
-168,15600,-6632,-833,-1318,-4240,1
-144,14408,-8004,-255,-2696,-1463,1
-196,13380,-7832,191,-1791,202,1
-1724,13228,-6892,-374,-487,-163,1
-2408,13468,-6452,-1398,182,-1661,1
-2092,13676,-6408,-2452,582,-2197,1
-2324,13568,-7016,-2658,648,-2714,1
-2268,13584,-7720,-2397,744,-2969,1
-2384,13488,-7860,-1655,726,-2009,1
-3112,14320,-7264,-1085,61,-1004,1
-3984,15504,-6732,-1269,-1421,-786,1
-4152,16408,-6540,-1912,-2547,-1221,1
-4432,17368,-6280,-3031,-2892,-1804,1
-4260,17900,-6120,-3590,-2259,-2048,1
-4688,19500,-7736,-4009,-2907,-2463,1
-3852,20584,-10052,-2583,-3717,-2289,1
-2396,20040,-11336,-1261,-2844,-272,1
-1836,19224,-7672,417,-646,2207,1
-1056,19596,-1956,-83,-16,6560,1
-936,16872,524,-978,-251,8926,1
-892,13916,-2016,-1193,107,9341,1
-1116,12588,-5084,324,116,7118,1
-1120,12736,-6460,3077,1446,6240,1
-664,12344,-8000,6547,1606,8106,1
328,11272,-8780,9841,1509,10006,1
132,12492,-9736,13910,-703,11292,1
2092,17252,-8288,14247,-2765,14176,1
1856,18932,-5500,11627,-557,10742,1
960,15476,-2592,9980,-43,6639,1
1472,14564,-2800,9515,781,4863,1
492,13780,-4144,8460,1239,3983,1
-1280,11220,-6268,10931,-2519,4579,1
-996,9484,-10424,17048,-8109,5607,1
2776,10848,-11820,21229,-9952,9503,1
5804,10924,-8760,19617,-8982,9931,1
4996,9288,-7644,16362,-5497,4976,1
3624,8340,-9892,13152,-1825,1183,1
1808,7072,-12044,11727,1505,-251,1
2228,6516,-12180,11695,1409,-100,1
3616,6556,-11564,9065,3705,-35,1
3520,5492,-10944,5175,6118,-307,1
1524,4968,-10548,1239,5555,-1327,1
920,3784,-9748,-1693,2118,-3015,1
2064,3920,-10464,-3174,121,-4111,1
3580,4488,-10248,-4077,-409,-5204,1
4416,5500,-10768,-4100,-565,-5425,1
4840,7308,-11536,-5141,-590,-5470,1
5352,7688,-11956,-6825,223,-4669,1
4516,8708,-14632,-6279,1360,-3762,1
-1388,12012,-17248,-1256,-4087,-7716,1
3452,13644,-15164,-2299,-5153,-7015,1
5188,10456,-13896,-2265,-1487,-4576,1
4692,10812,-12196,-5863,-1000,-4234,1
3140,10952,-13404,-10488,-455,-5661,1
2280,11624,-16800,-13192,-1402,-6255,1
3048,14104,-19212,-12523,485,-5563,1
4304,15404,-16216,-10179,7251,-4821,1
1512,13800,-11908,-7970,11183,-5975,1
-416,12508,-7904,-6844,10206,-5838,1
-716,11248,-5892,-5844,7735,-6002,1
-1724,10652,-5312,-5386,4572,-6640,1
-2404,11264,-5692,-5179,2351,-7012,1
-4020,12860,-5968,-5945,-168,-8073,1
-2680,14500,-6956,-5874,-2451,-7013,1
336,15720,-7908,-5826,-2276,-6015,1
912,14636,-7388,-5962,-134,-4429,1
260,13944,-6064,-6889,308,-3596,1
156,12612,-5648,-7339,484,-4884,1
-840,11200,-5792,-7091,-51,-5556,1
-908,11492,-6268,-6212,-790,-5747,1
-900,10272,-6828,-5861,-274,-6027,1
-244,10192,-7712,-5201,1569,-5112,1
-948,9284,-7552,-4534,2967,-5056,1
-1004,9984,-7444,-2453,4699,-5542,1
-1644,12120,-6484,-642,2211,-5990,1
-2664,13744,-5400,1525,-2019,-3233,1
-276,16108,-5404,1014,-2022,-3089,1
228,16572,-5888,-403,-143,-3803,1
0,14816,-6952,-628,1931,-1684,1
-472,13740,-7492,-444,3702,-2091,1
-2108,13164,-7744,-831,3597,-1970,1
-2696,12392,-7260,-900,2862,-1725,1
-3224,12872,-6764,-907,1993,-2477,1
-3076,13476,-6228,-1185,1453,-3446,1
-2872,14320,-5916,-1496,1029,-3965,1
-2216,14200,-6448,-1511,864,-3458,1
-2832,14784,-6428,-1849,407,-3101,1
-3260,14648,-5632,-2548,-333,-2611,1
-3192,14236,-5232,-3349,-943,-2151,1
-3208,13872,-5180,-4052,-1925,-1882,1
-3384,14460,-5748,-3871,-2976,-1044,1
-3508,14980,-7448,-3752,-2663,-1074,1
-4144,15836,-9048,-3310,-1784,-1931,1
-4732,18164,-10016,-2812,-607,-3565,1
-4968,19924,-10100,-2697,-143,-3741,1
-4148,19624,-8656,-2797,620,-1683,1
-3412,19560,-8364,-2181,649,281,1
-2640,20072,-7224,-1222,1358,1703,1
-1144,19640,-4984,-646,3343,2881,1
-708,16744,-3472,-71,6020,5107,1
-708,14536,-3940,1640,6849,7330,1
-1520,13724,-5024,3725,5248,8860,1
-1864,14460,-4948,7072,2081,11159,1
-1388,14776,-5464,10238,-1267,13830,1
-740,16292,-6304,12876,-4338,15710,1
1360,18032,-5780,12458,-4559,13789,1
1360,17124,-4300,11755,-3165,12944,1
2304,14328,-4632,11746,-3246,11313,1
592,13384,-5336,10455,-936,6366,1
92,10860,-6596,10520,-2921,2645,1
468,10292,-8676,12786,-3918,1745,1
1272,10380,-10732,15515,-5043,2204,1
2804,10296,-11032,17910,-4860,4765,1
4480,11372,-9380,17957,-2107,5675,1
3344,10016,-7800,15376,77,3066,1
2452,8312,-7576,13698,1671,659,1
2524,7220,-7812,11676,2641,349,1
2256,6840,-9272,9862,4134,291,1
2472,6092,-10204,7860,3943,-77,1
2384,6092,-10880,5811,4370,-540,1
2040,5752,-11184,3586,3145,-1211,1
2220,4896,-10440,1078,1850,-1343,1
1832,4532,-10056,-639,-232,-2339,1
3140,4496,-9760,-1858,-2378,-3558,1
4088,5668,-10700,-3295,-2523,-4329,1
